iter	Passed	Remaining
812	21699	245203
813	21729	245216
814	21752	245151
815	21782	245157
816	21810	245146
817	21841	245165
818	21867	245129
819	21892	245089
820	21916	245031
821	21944	245017
822	21971	245002
823	22002	245013
824	22030	245009
825	22053	244940
826	22079	244899
827	22106	244877
828	22138	244916
829	22174	244991
830	22203	244985
831	22229	244948
832	22259	244955
833	22281	244886
834	22310	244879
835	22336	244851
836	22366	244851
837	22392	244824
838	22422	244831
839	22452	244837
840	22482	244846
841	22512	244852
842	22538	244827
843	22566	244811
844	22592	244773
845	22617	244729
846	22645	244711
847	22671	244677
848	22693	244602
849	22721	244591
850	22744	244518
851	22769	244478
852	22795	244444
853	22823	244428
854	22850	244405
855	22878	244396
856	22904	244362
857	22930	244325
858	22958	244309
859	22990	244341
860	23025	244403
861	23054	244403
862	23076	244322
863	23099	244259
864	23127	244245
865	23157	244251
866	23182	244204
867	23209	244177
868	23231	244102
869	23257	244075
870	23280	244005
871	23307	243980
872	23331	243925
873	23353	243848
874	23382	243841
875	23408	243811
876	23436	243797
877	23463	243769
878	23492	243766
879	23516	243716
880	23541	243672
881	23566	243627
882	23596	243631
883	23623	243609
884	23646	243542
885	23673	243517
886	23696	243457
887	23723	243432
888	23751	243416
889	23774	243350
890	23798	243302
891	23820	243224
892	23845	243179
893	23870	243134
894	23893	243069
895	23916	243004
896	23938	242937
897	23965	242909
898	23991	242878
899	24021	242880
900	24047	242855
901	24075	242833
902	24097	242764
903	24122	242717
904	24149	242691
905	24174	242656
906	24201	242633
907	24228	242605
908	24253	242558
909	24280	242536
910	24305	242498
911	24331	242463
912	24356	242420
913	24380	242363
914	24404	242310
915	24427	242252
916	24454	242220
917	24477	242165
918	24499	242089
919	24526	242064
920	24551	242020
921	24576	241984
922	24602	241949
923	24631	241943
924	24653	241871
925	24683	241877
926	24710	241854
927	24738	241842
928	24766	241826
929	24795	241819
930	24822	241795
931	24847	241758
932	24870	241698
933	24898	241682
934	24927	241674
935	24953	241640
936	24978	241605
937	25007	241599
938	25031	241540
939	25059	241530
940	25086	241505
941	25116	241510
942	25142	241483
943	25169	241455
944	25194	241416
945	25222	241395
946	25248	241370
947	25273	241325
948	25297	241273
949	25326	241265
950	25355	241260
951	25385	241265
952	25412	241246
953	25445	241276
